"","Year","Count"
"1",1975,72
"2",1976,71
"3",1977,80
"4",1978,80
"5",1979,82
"6",1980,84
"7",1981,82
"8",1982,79
"9",1983,76
"10",1984,74
"11",1985,77
"12",1986,81
"13",1987,84
"14",1988,85
"15",1989,85
"16",1990,88
"17",1991,92
"18",1992,91
"19",1993,97
"20",1994,96
"21",1995,98
"22",1996,97
"23",1997,92
"24",1998,89
"25",1999,85
"26",2000,82
"27",2001,78
"28",2002,79
"29",2003,82
"30",2004,83
"31",2005,88
"32",2006,89
"33",2007,86
"34",2008,85
"35",2009,85
"36",2010,86
"37",2011,87
"38",2012,84
"39",2013,82
"40",2014,78
"41",2015,81
"42",2016,83
"43",2017,77
"44",2018,75
"45",2019,73
"46",2020,74
